ICE BofA US Bond Market Option Volatility Estimate Index | Price History                                          16-Apr-2026 00:57,,,,,,,
,,,,,,,
,,,,,,,
.MOVE,,,,,,,
Interval: Daily,,,,,,,
History Period: 01-Jan-2019 - 13-Apr-2026,,,,,,,
,,,,,,,
,,,,,,,
.MOVE Statistics     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Price,,,Up/Down,,Price Change (Close-Close),,
High,198.71,16-Mar-2023,Up,870,Up,+45.06%,06-Oct-2020
Low,36.62,30-Sep-2020,Down,946,Down,-25.84%,04-Nov-2020
Avg (Close),87.55,,Unch,8,Period,+18.49%,02-Jan-2019 - 13-Apr-2026
Avg (High-Low),117.67,,,,,,
,,,,,,,
,,,,,,,
.MOVE History     Daily     02-Jan-2019 - 13-Apr-2026,,,,,,,
Exchange Date,Close,Net,%Chg,Open,Low,High,
13-Apr-2026,74.42,+2.27,+3.15%,72.15,72.15,74.42,
10-Apr-2026,72.15,-1.86,-2.51%,74.01,72.15,74.01,
09-Apr-2026,74.01,-4.73,-6.01%,78.74,74.01,78.74,
08-Apr-2026,78.74,-4.41,-5.30%,83.15,78.74,83.15,
07-Apr-2026,83.15,+1.47,+1.80%,81.68,81.68,83.15,
06-Apr-2026,81.68,-0.10,-0.12%,81.78,81.68,81.78,
03-Apr-2026,81.78,-2.63,-3.12%,84.41,81.78,84.41,
02-Apr-2026,84.41,-5.78,-6.41%,90.19,84.41,90.19,
01-Apr-2026,90.19,-5.86,-6.10%,96.05,90.19,96.05,
31-Mar-2026,96.05,-12.28,-11.34%,108.33,96.05,108.33,
30-Mar-2026,108.33,-3.62,-3.23%,111.95,108.33,111.95,
27-Mar-2026,111.95,-3.07,-2.67%,115.02,111.95,115.02,
26-Mar-2026,115.02,+17.43,+17.86%,97.59,97.59,115.02,
25-Mar-2026,97.59,-5.42,-5.26%,103.01,97.59,103.01,
24-Mar-2026,103.01,+4.86,+4.95%,98.15,98.15,103.01,
23-Mar-2026,98.15,-10.69,-9.82%,108.84,98.15,108.84,
20-Mar-2026,108.84,+23.96,+28.23%,84.88,84.88,108.84,
19-Mar-2026,84.88,+3.63,+4.47%,81.25,81.25,84.88,
18-Mar-2026,81.25,+2.02,+2.55%,79.23,79.23,81.25,
17-Mar-2026,79.23,-6.02,-7.06%,85.25,79.23,85.25,
16-Mar-2026,85.25,-5.92,-6.49%,91.17,85.25,91.17,
13-Mar-2026,91.17,-4.13,-4.33%,95.30,91.17,95.30,
12-Mar-2026,95.30,+16.71,+21.26%,78.59,78.59,95.30,
11-Mar-2026,78.59,+2.26,+2.96%,76.33,76.33,78.59,
10-Mar-2026,76.33,-3.41,-4.28%,79.74,76.33,79.74,
09-Mar-2026,79.74,-1.52,-1.87%,81.26,79.74,81.26,
06-Mar-2026,81.26,+6.73,+9.03%,74.53,74.53,81.26,
05-Mar-2026,74.53,+4.50,+6.43%,70.03,70.03,74.53,
04-Mar-2026,70.03,-7.72,-9.93%,77.75,70.03,77.75,
03-Mar-2026,77.75,+4.54,+6.20%,73.21,73.21,77.75,
02-Mar-2026,73.21,-0.17,-0.23%,73.38,73.21,73.38,
27-Feb-2026,73.38,+9.45,+14.78%,63.93,63.93,73.38,
26-Feb-2026,63.93,+1.50,+2.40%,62.43,62.43,63.93,
25-Feb-2026,62.43,-2.84,-4.35%,65.27,62.43,65.27,
24-Feb-2026,65.27,-2.76,-4.06%,68.03,65.27,68.03,
23-Feb-2026,68.03,+3.76,+5.85%,64.27,64.27,68.03,
20-Feb-2026,64.27,-3.76,-5.53%,68.03,64.27,68.03,
19-Feb-2026,68.03,+3.84,+5.98%,64.19,64.19,68.03,
18-Feb-2026,64.19,-4.65,-6.75%,68.84,64.19,68.84,
17-Feb-2026,68.84,-1.26,-1.80%,70.10,68.84,70.10,
13-Feb-2026,70.10,+1.53,+2.23%,68.57,68.57,70.10,
12-Feb-2026,68.57,+7.22,+11.77%,61.35,61.35,68.57,
11-Feb-2026,61.35,-3.20,-4.96%,64.55,61.35,64.55,
10-Feb-2026,64.55,+1.81,+2.88%,62.74,62.74,64.55,
09-Feb-2026,62.74,-0.88,-1.38%,63.62,62.74,63.62,
06-Feb-2026,63.62,+1.46,+2.35%,62.16,62.16,63.62,
05-Feb-2026,62.16,+4.65,+8.09%,57.51,57.51,62.16,
04-Feb-2026,57.51,-0.03,-0.05%,57.54,57.51,57.54,
03-Feb-2026,57.54,-1.76,-2.97%,59.30,57.54,59.30,
02-Feb-2026,59.30,+0.10,+0.17%,59.20,59.20,59.30,
30-Jan-2026,59.20,-1.53,-2.52%,60.73,59.20,60.73,
29-Jan-2026,60.73,+3.30,+5.75%,57.43,57.43,60.73,
