maturity,signal,horizon,n,mean_bps,std_pp,t_stat,t_pvalue,sign_p,wilcoxon_p,cohen_d,ci_low_bps,ci_high_bps,boot_low_bps,boot_high_bps,t_p_bh,sig_bh
2y,z<-2,5,33,3.199999999999999,0.051436246947070406,3.573861150452518,0.0011397531420829603,0.0013187271542847157,0.0004383400082588196,0.6221293717819079,1.3761499888581288,5.023850011141868,1.5393181818181718,5.03348484848484,0.003127296087350977,True
2y,z<-2,10,33,2.6939393939393974,0.05611313315188535,2.7579111600439288,0.009533732347315289,0.050102459732443094,0.007706684812457052,0.48009071007450665,0.7042542089066607,4.683624578972134,0.945454545454542,4.794166666666665,0.019067464694630578,True
2y,z<-2,20,33,2.733333333333326,0.06739327983313086,2.3298768966404895,0.02628095650387171,0.296206368599087,0.04842899041250348,0.40557950883251215,0.34367153897599845,5.122995127690653,0.692803030303022,5.1579545454545395,0.03942143475580757,True
2y,z>+2,5,40,-16.705000000000005,0.5182858309505505,-2.038483213644052,0.048322471515179516,0.0022214337732293643,1.3217835657997057e-05,-0.32231249635674153,-33.28058501981079,-0.12941498018922137,-36.172749999999986,-2.4720624999999963,0.055156086009266955,False
2y,z>+2,10,40,-21.17,0.5695467923866736,-2.3508311858005992,0.023881584971665024,0.0006795482549932785,6.268265497055836e-05,-0.3716990470842188,-39.38499010044624,-2.955009899553762,-39.79125,-6.699374999999998,0.03907895722636094,True
2y,z>+2,20,40,-15.950000000000006,0.5099606822451094,-1.9781261746544925,0.05501000281130221,0.01658900337497471,0.009381349105751724,-0.3127692105552118,-32.259333847332236,0.3593338473322244,-34.410875,-2.119625000000001,0.055156086009266955,False
5y,z<-2,5,48,2.4875000000000047,0.03651908565423394,4.719150336479551,2.1594356599621804e-05,5.539621596994947e-06,3.507436571676317e-05,0.6811506792781954,1.4270962893532488,3.5479037106467604,1.4685937500000026,3.5109895833333358,0.00019434920939659625,True
5y,z<-2,10,48,2.681250000000001,0.030834255784553018,6.024547840873241,2.4709889887101643e-07,1.5221826110689564e-05,2.0812945678017059e-07,0.8695685794184861,1.7859165418037268,3.5765834581962745,1.8061979166666506,3.6105208333333403,4.447780179678296e-06,True
5y,z<-2,20,47,3.208510638297881,0.11179111534021913,1.967637647315689,0.055156086009266955,0.03998605682605215,0.014184076758127162,0.2870094486966402,-0.07379947186224589,6.490820748458008,0.6319148936170507,6.98813829787235,0.055156086009266955,False
5y,z>+2,5,37,-3.991891891891899,0.11461926791153645,-2.118468462365511,0.04110488146309605,0.007632078602910042,0.00018856643873732537,-0.34827406985122733,-7.813488551144704,-0.17029523263909427,-8.102905405405416,-1.2756081081081165,0.05284913330969492,False
5y,z>+2,10,37,-3.848648648648652,0.11693959067769938,-2.001923869975313,0.05287180960487429,0.09887174959294498,0.002268537733471021,-0.3291142568863632,-7.747608720642848,0.05031142334554484,-7.997364864864871,-1.1485810810810833,0.055156086009266955,False
5y,z>+2,20,37,-4.213513513513512,0.11960192356362888,-2.142925578221992,0.038951426370966935,0.0025632079923525453,0.000996397517155856,-0.35229479493044275,-8.201240183376225,-0.22578684365079926,-8.559594594594596,-1.3783783783783776,0.05284913330969492,False
10y,z<-2,5,44,2.5590909090908998,0.03907911961459745,4.343774595522675,8.389352334797916e-05,0.00038813090293388086,3.8579728425247595e-06,0.6548486594193866,1.3709770785993203,3.7472047395824792,1.415852272727254,3.7454545454545367,0.000503361140087875,True
10y,z<-2,10,44,2.93636363636363,0.05517544571387847,3.530126962766739,0.0010043920039844937,0.0006061066312668117,0.00032021954818315393,0.5321866635370082,1.258876763509173,4.6138505092180875,1.4158522727272602,4.606931818181807,0.003127296087350977,True
10y,z<-2,20,43,3.0348837209302277,0.06806190589698483,2.9239650530101455,0.005548738087938592,0.03153949735315109,0.0038951322635512042,0.4459004902865458,0.9402474320711354,5.12952000978932,0.9930232558139483,5.074941860465112,0.012484660697861834,True
10y,z>+2,5,37,-3.024324324324326,0.06861584098175598,-2.6810495093051188,0.011004472930975527,0.007632078602910042,0.00046338878746610135,-0.4407618242452866,-5.312090364411794,-0.7365582842368583,-5.546013513513504,-1.1133783783783717,0.01980805127575595,True
10y,z>+2,10,37,-4.100000000000001,0.06481255022498848,-3.8479162272814484,0.0004687470299861596,4.12575900554657e-05,5.546273314394057e-06,-0.6325935310009212,-6.260958012824133,-1.93904198717587,-6.457162162162157,-2.237837837837843,0.0021093616349377184,True
10y,z>+2,20,37,-3.9270270270270182,0.06800843438241423,-3.5123838789097546,0.001216170700636491,0.007632078602910042,0.00016306739416904747,-0.5774323527204264,-6.194541122802261,-1.6595129312517765,-6.4304729729729715,-1.9999999999999991,0.003127296087350977,True
