maturity,signal,term,F,p_value,partial_eta_sq,n
5y,z<-2,C(rate_regime),17.256423272859074,0.0001479008487719698,0.28170798017364634,48
5y,z<-2,C(vol_regime),0.007886928215646414,0.9296371970715741,0.0001792162443180091,48
5y,z<-2,C(rate_regime):C(vol_regime),0.7757505828456265,0.3832297138261481,0.017325239057920563,48
5y,z>+2,C(rate_regime),6.594233603078073,0.014946192483770476,0.16654530225748415,37
5y,z>+2,C(vol_regime),0.421432100485803,0.5207162669724654,0.012609636212437384,37
5y,z>+2,C(rate_regime):C(vol_regime),2.1629103595668595,0.15084835795128632,0.06151113026337967,37
10y,z<-2,C(rate_regime),0.0391343348186981,0.8441846900653267,0.0009774021209211366,44
10y,z<-2,C(vol_regime),0.5550771080369454,0.4606059711675935,0.013686994270982258,44
10y,z<-2,C(rate_regime):C(vol_regime),0.00016680219579631527,0.9897596568483624,4.17003750562257e-06,44
10y,z>+2,C(rate_regime),0.9700500408261781,0.33183425719911763,0.028556038029391894,37
10y,z>+2,C(vol_regime),0.0035250135235368354,0.9530140470156806,0.00010680718262950472,37
10y,z>+2,C(rate_regime):C(vol_regime),2.704393675780912,0.1095665344652116,0.07574400227430168,37
