maturity,signal,split,subset,n,mean_bps,std_pp,t_stat,t_pvalue,sign_p,wilcoxon_p,cohen_d,ci_low_bps,ci_high_bps,boot_low_bps,boot_high_bps
5y,z<-2,rate-transition,post-transition,25,2.2879999999999976,0.02464805604234678,4.641339657920856,0.00010337313911241526,0.0009105205535888672,0.00018787384033203125,0.9282679315841711,1.2705782517454702,3.305421748254525,1.1995999999999964,3.174099999999998
5y,z<-2,rate-transition,stable,23,3.108695652173917,0.03649273033891746,4.085411112465182,0.0004897225418069008,0.010622024536132812,0.00040793418884277344,0.8518671042979393,1.5306316552158292,4.686759649132005,1.7347826086956513,4.645760869565231
5y,z<-2,rate-transition,TWO-SAMPLE diff,48,-0.8206956521739195,,-0.905192989199508,0.37104044282062876,,,,,,,
5y,z<-2,vol-transition,post-transition,47,2.621276595744681,0.030883326140289987,5.81885735717321,5.406793295648855e-07,2.4904030624384174e-05,4.09891185881861e-07,0.8487675789315315,1.7145081703904268,3.5280450210989356,1.7966489361702027,3.478670212765953
5y,z<-2,vol-transition,stable,1,,,,,,,,,,,
5y,z<-2,vol-transition,TWO-SAMPLE diff,48,-2.878723404255335,,,,,,,,,,
5y,z>+2,rate-transition,post-transition,14,-6.899999999999998,0.18053723246935058,-1.430033883626922,0.17629964808701562,0.4239501953125,0.0352783203125,-0.3821926317149786,-17.323909461343863,3.523909461343866,-16.910000000000004,-1.0726785714285703
5y,z>+2,rate-transition,stable,23,-1.9913043478260932,0.046518728431263714,-2.0529280326148895,0.052160393070463634,0.21003961563110352,0.04844093322753906,-0.42806508582203695,-4.002925014185516,0.020316318533329658,-4.224456521739137,-0.37532608695652947
5y,z>+2,rate-transition,TWO-SAMPLE diff,37,-4.908695652173904,,-0.9973794927031188,0.33543872377226214,,,,,,,
5y,z>+2,vol-transition,post-transition,37,-3.848648648648652,0.11693959067769938,-2.001923869975313,0.05287180960487429,0.09887174959294498,0.002268537733471021,-0.3291142568863632,-7.747608720642848,0.05031142334554484,-8.109391891891896,-1.118918918918921
5y,z>+2,vol-transition,stable,0,,,,,,,,,,,
5y,z>+2,vol-transition,TWO-SAMPLE diff,37,,,,,,,,,,,
10y,z<-2,rate-transition,post-transition,17,3.95294117647057,0.05897257587966084,2.763724283589024,0.013837896254220024,0.002349853515625,0.0008392333984375,0.6703015965483554,0.9208511097195348,6.985031243221605,1.7954411764705747,7.239852941176451
10y,z<-2,rate-transition,stable,27,2.2962962962962967,0.05276907710558793,2.2611548690490073,0.03234592195209465,0.07551869750022888,0.031862681910020826,0.4351594574416259,0.20882112973735906,4.3837714628552344,0.25694444444443576,4.35740740740739
10y,z<-2,rate-transition,TWO-SAMPLE diff,44,1.6566448801742735,,0.9444106184277847,0.3521928120379062,,,,,,,
10y,z<-2,vol-transition,post-transition,43,2.90697674418604,0.055793580168688385,3.4165796914164335,0.0014191568707324004,0.0009406740282429382,0.0005208449059428884,0.5210235183684178,1.1899037917537614,4.62404969661832,1.3507558139534919,4.66755813953488
10y,z<-2,vol-transition,stable,1,,,,,,,,,,,
10y,z<-2,vol-transition,TWO-SAMPLE diff,44,-1.2930232558139414,,,,,,,,,,
10y,z>+2,rate-transition,post-transition,16,-6.418749999999997,0.08676498429666193,-2.959143046947773,0.009750518191225336,0.000518798828125,9.1552734375e-05,-0.7397857617369432,-11.042129658739544,-1.79537034126045,-10.714843749999996,-2.9276562500000045
10y,z>+2,rate-transition,stable,21,-2.333333333333339,0.03401813241983349,-3.1432285845678978,0.005117052795738586,0.02660369873046875,0.0071010589599609375,-0.6859087102538711,-3.8818201559324668,-0.784846510734211,-3.7410714285714297,-0.7736904761904856
10y,z>+2,rate-transition,TWO-SAMPLE diff,37,-4.085416666666658,,-1.78197603469099,0.09114954970557537,,,,,,,
10y,z>+2,vol-transition,post-transition,36,-3.972222222222224,0.06525756053017304,-3.6521949548380017,0.0008426323461857255,6.960169412195683e-05,1.0947667760774493e-05,-0.6086991591396669,-6.180220405731906,-1.7642240387125425,-6.1495138888888885,-2.131875000000009
10y,z>+2,vol-transition,stable,1,,,,,,,,,,,
10y,z>+2,vol-transition,TWO-SAMPLE diff,37,4.72777777777775,,,,,,,,,,
