maturity,regime,signal,mean_forward,t_stat,p_value,count
2y,rising,z<-2,-0.03151416666666662,-0.46171506662856154,0.6486229720940304,24
2y,rising,z>+2,0.018536129032258146,0.7960122555710022,0.4322789281489948,31
5y,rising,z<-2,-0.009279200000000066,-0.17459281568781856,0.862864079931793,25
5y,rising,z>+2,0.062136538461538444,3.0083497707297804,0.004073115488706225,52
10y,rising,z<-2,0.012941799999999988,0.6307230087699467,0.5311525741136545,50
10y,rising,z>+2,0.0903703773584906,5.202740961039421,3.375236148899275e-06,53
2y,falling/stable,z<-2,0.0009563917525773106,0.04016236409964821,0.9680470897905197,97
2y,falling/stable,z>+2,0.022261833333333345,1.22846346949535,0.22415084445312444,60
5y,falling/stable,z<-2,0.03152896000000001,0.8648307076570164,0.3888017093906322,125
5y,falling/stable,z>+2,-0.008456363636363661,-0.45836058935872226,0.6490016198498676,44
10y,falling/stable,z<-2,0.06029931034482756,1.6146851706564391,0.10911936467744288,116
10y,falling/stable,z>+2,-0.007958000000000093,-0.34495754770677794,0.732251215034337,35
